НЕВРОЗОВ клиника N8 им.З.П.Соловьева ГМУ Москвы	"375-19-87"	111539	Вешняковская 23
НАРКОЛОГИЧЕСКАЯ больница N17 ГМУ Москвы	"119-58-16"	113149	Болотниковская 16
Клиническая больница N33 им.А.А.Остроумова ГМУ Москвы	"268-09-16 268-24-26,Травмпункт 268-09-51"	107014	Стромынка 7
Клиническая больница N50	"216-62-22"	125206	Вучетича 21
Клиническая больница N52	"197-10-10,Аллергологический центр 196-45-65"	123426	Пехотная 2/3
Клиническая больница N67 ГМУ Москвы	"199-91-32 199-38-53,Поликлиника 199-91-69"	123448	Саляма Адиля 2
АРТРОЛОГИЧЕСКАЯ городская больница ГМУ Москвы	"276-04-47 276-37-71"	109044	"4-й Крутицкий пер 10"
Детская клиническая больница N1 ГМУ Москвы (Морозовская)	"230-06-62,Консультативная поликлиника 230-04-25,Кардиоревматологический диспансер 230-07-57,Консультативный офтальмологический центр 236-35-69"	117049	"4-й Добрынинский пер 1"
Детская клиническая больница N3 ГМУ Москвы	"465-11-74,Центр гастроэнтерологии 465-12-53,Центр гематологии 465-83-49,Центр гинекологии детей и подростков 465-62-13,Центр эндоскопии 465-63-95"		Верхняя Первомайская 15/48
Детская клиническая больница N3 ГМУ Москвы	"465-11-74,Центр гастроэнтерологии 465-12-53,Центр гематологии 465-83-49,Центр гинекологии детей и подростков 465-62-13,Центр эндоскопии 465-63-95"		"13-я Парковая 6"
Детская клиническая больница N9 ГМУ Москвы	"259-58-67,Консультативная поликлиника 259-13-07"	123317	Шмитовский пр 29
Детская клиническая больница N13 им. Филатова ГМУ Москвы	"254-71-79 254-91-29"	103001	"Садово-Кудринская 15"
ПСИХОНЕВРОЛОГИЧЕСКАЯ детская клиническая больница N18 ГМУ Москвы	"430-02-29 430-80-40"	117602	Пельше 6
"ОРТОПЕДО-ХИРУРГИЧЕСКАЯ детская клиническая больница N19 им. Шумской ГМУ Москвы"	"161-22-22 963-84-53 168-86-33"	107061	Бол Черкизовская 12
ТРАВМАТОЛОГИЧЕСКАЯ детская клиническая больница N20 им. К.А.Тимирязева ГМУ Москвы	"238-80-12 238-77-21"	109180	Бол Полянка 20
Российская детская клиническая больница во имя Покрова Пресвятой Богородицы МЗ РФ	"434-10-00 936-90-45 936-90-09"	117517	Ленинский просп 117
КБ N57			"11-я Парковая 32/61"	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ N64			Вавилова 61	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ N67			Саляма Адиля 2	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ N71			Можайское шоссе 14	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ им. С.П.Боткина ГМУ Москвы	"252-94-88 945-00-45 Консультативная поликлиника 252-94-50"	125101	"2-й Боткинский пр 5"	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
"Спасо-Перовский госпиталь мира и милосердия"			Федеративный просп 17	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
Наркологическая больница N17			Болотниковская 16	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
Офтальмологическая клиническая больница			пер Садовских 7	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
Урологическая клиническая больница N47			"3-я Парковая 51"	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
ДКБ N1 (Морозовская)			"4-й Добрынинский пер 1"	ДЕТСКИЕ БОЛЬНИЦЫ
ДКБ N3			Верхн Первомайская 15/48	ДЕТСКИЕ БОЛЬНИЦЫ
ДКБ N7			Героев Панфиловцев 28	ДЕТСКИЕ БОЛЬНИЦЫ
ДКБ N9			Шмитовский пр 29	ДЕТСКИЕ БОЛЬНИЦЫ
ДКБ N13 им. Н.Ф.Филатова			"Садово-Кудринская 15"	ДЕТСКИЕ БОЛЬНИЦЫ
ДКБ Святого Владимира (им. И.В.Русакова)			"Рубцовско-Дворцовая 1/3"	ДЕТСКИЕ БОЛЬНИЦЫ
Детская травматологическая больница N20 им. К.А.Тимирязева			Бол Полянка 20	ДЕТСКИЕ БОЛЬНИЦЫ
Институт скорой помощи им.Н.В.Склифософского			Бол Колхозная пл 3	КЛИНИКИ ИНСТИТУТОВ
ММА им. И.М.Сеченова			Бол Пироговская 6	КЛИНИКИ ИНСТИТУТОВ
Гематологический центр			Новый Зыковский пр 4/а	КЛИНИКИ ИНСТИТУТОВ
МНИИ глазных болезней им.Гельмгольца			"Садовая-Черногрязская 14/19"	КЛИНИКИ ИНСТИТУТОВ
Кардиологический НЦ			"3-я Черепковская 15/а"	КЛИНИКИ ИНСТИТУТОВ
НИИ неврологии			Волоколамское шоссе 80	КЛИНИКИ ИНСТИТУТОВ
НИИ педиатрии			Ломоносовский просп 2/62	КЛИНИКИ ИНСТИТУТОВ
ВНИЦ профилактической медицины			Петроверигский пер 10	КЛИНИКИ ИНСТИТУТОВ
ЦНИИ травматологии и ортопедии им. Н.Н.Приорова,			Приорова 10	КЛИНИКИ ИНСТИТУТОВ
МНИИ уха, горла, носа			"2-й Боткинский пр 5,КБ им. С.П.Боткина, корп. 8"	КЛИНИКИ ИНСТИТУТОВ
НЦ хирургии			Абрикосовский пер 2	КЛИНИКИ ИНСТИТУТОВ
Институт хирургии им. А.В.Вишневского			Бол Серпуховская 27	КЛИНИКИ ИНСТИТУТОВ
РД N23			Шаболовка 57	РОДИЛЬНЫЕ ДОМА
РД N25			Фотиевой 6	РОДИЛЬНЫЕ ДОМА
РО КБ N1 им. Н.И.Пирогова			Ленинский просп 8	РОДИЛЬНЫЕ ДОМА
РД N15 при КБ			Вешняковская 23	РОДИЛЬНЫЕ ДОМА
РД N67 при КБ			Саляма Адиля 2	РОДИЛЬНЫЕ ДОМА
"РД N70 при Спасо-Перовском госпитале мира и милосердия"			Федеративный просп 17	РОДИЛЬНЫЕ ДОМА					
РО НЦ акушерства, гинекологии и перинатологии			Академика Опарина 4	РОДИЛЬНЫЕ ДОМА					
Центральная Республиканская клиническая больница МЗ РФ	"465-84-60 464-27-54 465-70-02"	105203	Нижняя Первомайская 70						
